d  f   g   h   c      s         b   bvms                       xhs rem        w         
 0  51   0  51      0         0   0 00000000000000000000000000 NIL NIL        NIL       
 1  55  11  44      0         0   9 01000001100101100100000011 LHS ambrosially ambrosially
 2  55  13  42      0         0   9 01000001100101100100000011 LHS brosially  ma        
 3  55  16  39      0         0   9 01000001100101100100000011 LHS sially     orb       
 4  55  18  37      0         0   9 01000001100101100100000011 LHS ally       is        
 5  55  20  35      0         0   9 01000001100101100100000011 LHS ly         la        
 6  61  27  34      0         0  11 01000001100101100100001111 RHS cacod      cacodyl   
 7  61  30  31      0         0  11 01000001100101100100001111 RHS ca         doc       
 8  63  34  29      0         0  12 01000011100101100100001111 LHS ta         acta      
 9  65  40  25      0         0  15 01000111100111100100011111 RHS unse       unseat    
10  65  42  23      0         0  15 01000111100111100100011111 RHS un         es        
11  71  47  24      0         0  15 01000111100111100100011111 LHS des        nudes     
12  85  58  27      0         0  16 01000111101111100100011111 RHS unrepres   unrepressed
13  85  61  24      0         0  16 01000111101111100100011111 RHS unrep      ser       
14  85  64  21      0         0  16 01000111101111100100011111 RHS un         per       
15  91  69  22      0         0  16 01000111101111100100011111 LHS die        nudie     
16  99  76  23      0         0  16 01000111101111100100011111 RHS prot       proteid   
17 105  83  22      0         0  16 01000111101111100100011111 LHS edo        torpedo   
18 107  87  20      0         0  16 01000111101111100100011111 RHS l          lode      
19 117  94  23      0         0  17 01000111101111100101011111 LHS ogania     logania   
20 117  96  21      0         0  17 01000111101111100101011111 LHS ania       go        
21 117  98  19      0         0  17 01000111101111100101011111 LHS ia         na        
22 125 104  21      0         0  17 01000111101111100101011111 RHS stel       stelai    
23 125 108  17      0         0  17 01000111101111100101011111 NIL NIL        lets      
24 141 116  25      0         0  17 01000111101111100101011111 LHS gammoner   gammoner  
25 141 119  22      0         0  17 01000111101111100101011111 LHS moner      mag       
26 141 121  20      0         0  17 01000111101111100101011111 LHS ner        om        
27 145 127  18      0         0  18 01010111101111100101011111 RHS war        warren    
28 157 136  21      0         0  18 01010111101111100101011111 LHS nesses     rawnesses 
29 157 138  19      0         0  18 01010111101111100101011111 LHS sses       en        
30 157 141  16      0         0  18 01010111101111100101011111 LHS s          ess       
31 183 155  28      0         0  18 01010111101111100101011111 RHS intimatenesse intimatenesses
32 183 158  25      0         0  18 01010111101111100101011111 RHS intimatene ess       
33 183 160  23      0         0  18 01010111101111100101011111 RHS intimate   en        
34 183 162  21      0         0  18 01010111101111100101011111 RHS intima     et        
35 183 164  19      0         0  18 01010111101111100101011111 RHS inti       am        
36 183 166  17      0         0  18 01010111101111100101011111 RHS in         it        
37 199 176  23      0         0  18 01010111101111100101011111 LHS trations   nitrations
38 199 179  20      0         0  18 01010111101111100101011111 LHS tions      art       
39 199 181  18      0         0  18 01010111101111100101011111 LHS ons        it        
40 199 183  16      0         0  18 01010111101111100101011111 LHS s          no        
41 207 188  19      0         0  18 01010111101111100101011111 RHS rise       rises     
42 207 190  17      0         0  18 01010111101111100101011111 RHS ri         es        
43 227 202  25      0         0  18 01010111101111100101011111 LHS redeemably irredeemably
44 227 204  23      0         0  18 01010111101111100101011111 LHS deemably   er        
45 227 206  21      0         0  18 01010111101111100101011111 LHS emably     ed        
46 227 208  19      0         0  18 01010111101111100101011111 LHS ably       me        
47 227 210  17      0         0  18 01010111101111100101011111 LHS ly         ba        
48 231 214  17      0         0  18 01010111101111100101011111 RHS id         idyl      
49 245 223  22      0         0  18 01010111101111100101011111 LHS gamists    digamists 
